【#武汉长江灯光秀感谢辽吉黑#】“辽”表寸心，逢凶化“吉”，“龙江”有爱。武汉长江灯光秀感谢辽宁、吉林、黑龙江。来时风雪交加，走时姹紫嫣红，英雄的城市铭记英雄的你。#谢谢你们为武汉拼过命#！致敬！ 人民日报的微博视频,2021/4/24 21:07,"评论
1770",热搜从来没有吉林省 但援助从来不会少了我们吉林省,感觉黑吉辽而顺口呢,果然是打包的东三省,“辽”表寸心，我们都是一家人,这一次，我们黑黑要感谢你们了。黑龙江会好起来的东北超棒,黑吉辽加油！,黑吉辽加油！,打包东三省,“辽”表寸心，逢凶化“吉”，“龙江”有爱。武汉感谢你们 铭记英雄的你们,加油，辽宁大连祝武汉加油祝中国加油,黑龙江加油！！！！！,东北孩子看了好感动,时长5:20湖北人民感谢东三省,黑龙江也加油啊,欠债还钱……网信欠17万家庭生活保障钱750亿，已经十个月了一笔都不还，请求政府立案还出借人血汗钱花！,只要不被莫名的黑而黑就行，真的怕了,我国难道不是#法制中国# 吗？一直倡导#有法必依，执法必严#?但是对于#网信理财诈骗750亿# 骗子卷款跑路，法院不受理，经侦不立案，罪犯不坐牢，百姓无处告，生活举步维艰，只请天天将#人民#放在首位的国家，严惩犯罪分子！@全国人大 @最高人民法院 @最高人民检察院,吉林老铁收到，武汉加油,没有购买产品的充值款，属于客户备用金账户，法律规定除了客户发指令才可以转移。但是网信却自行更改指令，在没有客户下指令的情况下，擅自转移我们的备用金账户资金。这种行为央行为何没有做好监督管理？！,
,,,,,,,,,,,,,,,,,,,,,,
【正在直播：一起#云端畅游星辰大海# | #永远的东方红云展览#】今天，第五个中国航天日，@人民日报 带你畅游国博“永远的东方红”云展览。“5G直播导览+沉浸体验+深入参与+线上互动”，让你一起足不出户畅游星辰大海↓↓快来围观~ 人民日报的微博视频 .,2021/4/24 20:02,"评论
1586",毛主席万岁,毛主席万岁,毛选真是个宝藏的书,反对历史虚无主义！,毛主席万岁,教员，古今第一人,为什么华夏的科技这么发达却治不了金融诈骗？,一切依靠人民，一切为了人民！,我将无我，不负人民,毛主席万岁,永远的中国红,欠债还钱……网信欠17万家庭生活保障钱750亿，已经十个月了一笔都不还，请求政府立案还出借人血汗钱花！,我将无我，为人民服务,和网信要回血汗钱的路有多长？也不知道在告状的路上会有多少抗不住的老人，要含泪离开告状的队武、离开这个世界…？只要有收相关佣金的理财师，尽快公安机关自首，吐出佣金，促进立案，减免罪责,毛主席万岁,反对鼓励外商投资产业目录只增不减,我将无我，不负人民,,,
,,,,,,,,,,,,,,,,,,,,,,
【#四川高校开学时间#：#四川高校5月6日起可返校开学#】4月24日，四川省教育厅发布了《关于高等学校2020年春季学期开学有关事项的通知》（以下简称《通知》），对全省高等学校2020年春季学期开学作出安排部署。《通知》明确，5月6日起，各高校可根据生源特点、学生规模、疫情防控条件等情况，安排学生分期分批、错时错峰返校开学，原则上毕业年级、医学类、有科研要求的学生可先返校开学；承担研究生培养任务的其他单位（除高校以外），需报主管部门并经属地市（州）政府同意后，确定本单位研究生具体开学时间。各高校具体开学时间将由各校通过学校官方网站、微信公众号等媒体平台自行发布。（人民日报记者王永战）,2021/4/24 19:58,"评论
1825",只有我自己不想开学吗,恭喜四川退出群聊,估计四川的还不想开学,我哭了……不想开学，不想宿舍上网课，不想隔离14天（上一个月学不如不开）,自愿返校球球了！,山东你动一动,谢谢谢谢谢谢！,我蹲不到辽宁 我就不走！！！,山东呢,盲猜有人发：又不想开学的吗，赞我,重庆呢,山东辽宁携手不开学,不想开学 别杠我,来了来了四川的朋友,终于要开学了,准备收拾收拾东西走人吧，要开学了,还剩 黑辽京冀鲁鄂湘渝闽 9省 来吧河北你想排第几,开学快乐！,湖南你快点啊！不蒸馒头争口气,河北呢？？？
,,,,,,,,,,,,,,,,,,,,,,
【#香港首宗侮辱国旗案被告获刑20天#】香港一名21岁男子2019年因侮辱国旗，原本被判200小时社会服务令，香港特区政府律政司申请刑期复核。香港高等法院上诉庭24日表示，被告侮辱国旗行为恶劣，改判被告监禁20日。这是香港首宗侮辱国旗被判刑案件。律政司在申请上诉时表示，原审裁判官在判刑时低估案件严重性，没有考虑判刑须具阻吓性，而被告犯案已持续一段时间，且涉及不同形式的侮辱，认为其严重程度属中等至高等，应该判处监禁式刑罚。香港高等法院法官在裁决时表示，被告侮辱国旗行径恶劣，严重贬损了国旗所代表的国家尊严。被告当时在人群集中的地方以多种方式侮辱国旗，因案情严重，即时监禁是唯一选择。被告早前曾承认于2019年9月22日在沙田新城市广场及沙田大会堂一带，公开及故意以毁损、涂划、玷污、践踏等方式侮辱国旗。（新华社）,2021/4/24 19:50,"评论
1241",才20天？？？,日能改成年不？,判得可真重啊！,20天？？？认真的吗,20天你闹啥嘞,"Gun,我一个算命的都看不下去了",太轻了，怎么对得起先烈用鲜血铸成的红旗,轻了～所以废青不在意的,不应该再加至少一个0？,才20天，犯罪成本太低！长不了记性！,國旗被燒，被扔下海，被踩，被糟蹋。20天就完事兒了你叫我們香港愛國的人何等灰心還有洋人黃色大法官呢,废青去s,才20天呵呵,前段时间热搜上，香港人 偷七盒口罩，结果被法官判三个月，烧个国旗判了20天,杀鸡儆猴 应该重判 天变年,送到美国去,一辈子蹲监狱可好,我想说一句：就这？？？,国旗是神圣不可侵犯的 侮辱国旗真的不能忍 20天太少了啊,
,,,,,,,,,,,,,,,,,,,,,,
【#来自太空的桌面壁纸#，请签收】4月24日是中国航天日，“吉林一号”卫星拍摄的世界各地的高清卫星遥感影像发布。自2015年10月，我国自主研发的商用遥感卫星组星“吉林一号”发射成功，如今“吉林一号”已有16颗卫星组成星座。#吉林一号眼中的地球#，戳↓↓转存！网页链接,2021/4/24 19:46,"评论
1632",快把水印去掉,中间那个绿色圆圈圈的是什么呀？,本吉林人来蹭热度了！,这是我们美丽的家,像水彩画 太好看了 除了第五张 密集恐惧症看不了这个,好美,每一张美得都可以当壁纸。,卧槽！对深海恐惧的人，看见这些航拍图，真的受不了，尤其是深蓝色的那张，会有各种恐怖的联想。,好美，滑马想去看看,吉林人来蹭热度了,拿图辽,今天吉林的出现很频繁嘛,地球太美了，我们要好好保护哦,简直就是一幅幅油画呀,稀饭绿色的海洋,漂靓,#来自太空的桌面壁纸#，请签收,图5是什么啊？好规整,好美呀收了,太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太太美了叭！
,,,,,,,,,,,,,,,,,,,,,,
【13年来首次修改！#突发事件应对法修改工作启动#】全国人大日前正式启动了《中华人民共和国突发事件应对法》的修改工作。现行的突发事件应对法是2007年8月由十届全国人大常委会第二十九次会议通过的，并于当年11月1日施行。本次修改，也是该法实施13年以来的首次修改。【独家】突发事件应对法修改工作启动,2021/4/24 18:25,"评论
443",什么时候把犯罪年龄修改一下？现在小恶魔太多了,什么时候把犯罪年龄修改一下？还有那个精神病的,未成年人保护法，关于性侵强奸家暴的法律也请搞快点！,那个啥 性侵未成年也改改吧鲍某那个事,支持修改,及时发现，及时改变,相信法律会越来越严谨，支持修改！！！,别改外国人居留条例就好！,与时俱进,支持,别支持了，你不支持也已经修订了。跟你没关系。,支持与时俱进 共创未来,支持，与时俱进,歷史,请修改未成年人保护法，年龄不是犯罪份子的保护伞,突发事件应对非常重要,支持！,支持,全面提高依法防控依法治理能力，把制度优势更好地转化为治理效能,
,,,,,,,,,,,,,,,,,,,,,,
【#青春诗会我爱我的祖国#】《青春诗会·春天里的中国》第三期继续献诗春天里的中国。主持人映玲，嘉宾辛晓娟，电影人董子健、黄晓明、李光洁、林永健、刘劲、马思纯、宋祖儿、王嘉、王庆祥、王森、王晰、吴京、尹昉和青年代表李佳琦一同读诗，共抒爱国情怀。@人民日报 带你围观！ 人民日报的微博视频 .,2021/4/24 17:37,"评论
644",王晰！,期待王晰！,期待王晰,#青春诗会我爱我的祖国# 期待王晰,期待王晰啊！,吴京这个婚纱照真是通用,哇王晰！,期待王晰！#王晰青春诗会#,期待王晰！,晰哥！我爱！,期待王晰！,有王晰呀！,王晰,李佳琦也来了期待！！！,前排那些，不懂就问王晰是谁？,#王晰青春诗会# 等王晰呀,哇，王晰,等晰哥,晰哥！！！！！,王晰! ! !
,,,,,,,,,,,,,,,,,,,,,,
#吉林高校开学时间#【#吉林高校5月11日起首批复课#】24日，吉林省教育厅发布《关于做好2020年春季学期全省高校开学工作的通知》：各高校在全面做好疫情防控和开学准备的前提下，5月11日起可开展2020年春季学期首批开学复课工作。首批开学对象为确有返校实际需求的毕业年级学生和有重要科研任务的研究生。吉林省公布高校开学时间！,2021/4/24 17:06,"评论
5892",5月中旬返校再隔离半个月大部分学生都结课了，那返校除了增加感染风险危害社会之外还有什么意义？如果现在还是3月那我完全支持立刻！马上！开学！但是现在都5月了啊！马上结课了回去干嘛？回去和同学见一面然后再挥手说再见？？返校返个寂寞？让我跨越大半个中国冒着感染危险回去考个试？,千言万语汇成一句：终于！,吉林退出东北圈 所以辽宁什么时候开学,辽鲁川湘手牵手，谁先开学谁是狗？,山东我求求你别开学，我不想开学,@四川教育 ？,什么时候蹲到山东,山东你想啥时候？@山东省教育厅,@四川教育 出来挨打,辽宁！！！！赶紧滴！！！,河北的人呢？？？,山东,我静静等着吉林大学出自己的通知,湖南醒醒？,重庆应该是没有大学,山东我求你了开学吧,那个吉林开了，辽宁是不是也快了,福建呢,山东山东山东山东呢？？？,重庆重庆重庆！
,,,,,,,,,,,,,,,,,,,,,,
"【#蓬佩奥威胁世卫组织更换其负责人# 耿爽：典型霸权心态！】在4月24日的外交部例行记者会上，有记者提问：22日美国国务卿蓬佩奥称，世卫组织需进行结构性调整，改正其缺陷。美国不排除要求更换世卫组织负责人，甚至可能自此不再向世卫组织提供资金。请问中方对此有何评论？
“美方对世卫组织的攻击、抹黑没有事实依据，施压胁迫更是不得人心。”发言人耿爽对此表示，新冠肺炎疫情发生以来，世卫组织在谭德塞总干事的领导下，积极履行自身职责，秉持客观、公正、科学的态度，为协助各国应对疫情、推动国际抗疫合作发挥了重要作用。耿爽进一步表示，支持世卫组织就是捍卫多边主义的理念和原则，维护联合国的地位和权威。
耿爽说，事实上一段时间以来，法国、德国、英国、加拿大、日本等许多国家的领导人和联合国秘书长等国际组织的负责人，都对世卫组织表示支持。联合国大会通过决议，不结盟运动、七十七国集团和中国也专门发表声明，肯定并支持谭德塞总干事领导下的世卫组织在抗击疫情中的领导作用。前不久召开的20国集团领导人特别峰会发表声明也强调，完全支持，并承诺进一步增强世卫组织在协调国际抗疫行动方面的职责。这些都充分体现了国际社会的共同立场和普遍诉求。
耿爽表示，至于美方暂停资助世卫组织，我们已经多次作出过回应。“这里我想强调的是，美国作为世卫组织会员国，缴纳会费是其作为会员国应当履行的法律义务。”耿爽说，“美国暂停提供资金，构成对其作为世卫组织会员国义务的根本违反，将严重危害全球抗疫合作，并可能导致严重后果。受影响的是包括美国在内的世界各国，特别是医疗卫生系统脆弱的国家。”
耿爽强调，美国自恃世卫组织最大的出资国，认为“世卫组织应当听其指挥”，这是“典型的霸权心态”。耿爽表示，支持世卫组织发挥作用，就能挽救更多的生命，就能阻止疫情进一步蔓延。这是绝大多数国家的共识，也是任何有良知的人应当作出的选择。“中国有句话，叫‘得道多助，失道寡助’。我们希望美方不要站在国际社会的对立面。”他最后说道。蓬佩奥称世卫组织需改正“缺陷”，威胁更换其负责人，耿爽：典型霸权心态！",2021/4/24 16:03,"评论
992",美国不就是最大的恐怖主义么,碎嘴子蓬猪。,你们去火星建立基地吧 想怎么管都行,先管好自己再说,世界警察什么都管，就是管不好自己,美国作死，川普不就是特别喜欢打自己脸吗,美国不是欠费了吗，怎么成最大出资国了？,我威胁更换美国总统。,特朗普：换我上去,美国动不动就搞威胁，霸权主义，强权政治！,最应该把你蓬佩奥换下去,换特朗普可以吗,美国可真是老王霸蛋了,无法无天的美国,你想换你就换你说你妈呢？,得道者多助，失道者寡助！,得道多助失道寡助,美帝：想要我低头精诚合作，这辈子不可能的了，光明正大做生意又不会做，只能是靠偷，靠抢这种东西，才能维持得了生活，我每年都会找我欧洲、亚洲的狗腿子们，一个个有钱又听话，说话又好听，我超喜欢的…,霸权主义者美国,霸权主义
