"【#甘肃新增11例境外输入确诊病例#】3月4日20时至3月5日20时，甘肃本地无新增病例。截止3月5日20时，甘肃本地累计报告新型冠状病毒肺炎确诊病例91例，累计治愈出院87例，累计死亡病例2例。现有2例在定点医院进行隔离治疗，其中兰州市1例、定西市1例。甘肃本地目前无疑似病例。目前，甘肃本地累计追踪到密切接触者4337人，已解除医学观察4259人，其余78人正在接受医学观察。
3月2日20时至3月5日20时，有311人分别乘商业包机由伊朗到达兰州，均已全部隔离。3月5日新增11例境外输入确诊病例，均在省级定点医院隔离治疗，病情平稳。新增境外输入密切接触者300人，其中38人在省级定点医院隔离留观，262人在集中隔离点隔离，正在进一步进行医学检测检查。（央视）",2020/3/5 23:13,"评论
2026",怎么新增这么多,顶住甘肃,请大家重视！,甘肃人民都惊呆了。。。,没关系不要害怕，这批人是包机回来直接就在兰州的一个新区集中隔离了，新区离市区挺远的，没有传播病毒。华侨们都是为了回国得到更好的治疗，可以理解。点对点转移肯定是比单独跑回来好得多,纪念伟大的无产阶级革命家、人民敬爱的周总理#纪念周恩来总理诞辰122周年#,甘肃马上就要交卷了，结果一翻卷子，怎么还有附加题！！！！,周总理诞辰不值得一条微博吗,问问自己，还有良心吗？还记得新中国的首位总理吗,我求求你发一条周总理的微博吧,周总理诞辰啊！,问你为什么不发周总理你还删评？真觉得自己是个东西了？,建议直接改名资本日报,快零点了您也千万坚持住不要发周总理的诞辰不然下次不好用数典忘祖来骂你,周总理诞辰122周年—— “没有伟大人物出现的民族，是可怜的生物植群；有了伟大人物出现而不知崇敬爱戴的国家，是没有希望的奴隶之邦。”,纪念伟大的无产阶级革命家、人民敬爱的周总理#纪念周恩来总理诞辰122周年#,#天津60个国企混改项目股权拍卖#  #中国将全面开放油气勘查开采市场# 稀土到油气，教育到医疗，食盐到自来水！无论咋改革要警惕国际经济财阀通过私有资本金融大亨掌握国企垄断资源，我国是公有制为主体公有制要控制国家经济命脉警惕走90年代苏俄“500天计划”的老路从超级大国变为乞丐大国,他们是看中中国的医疗制度才回来的吗？耐人寻味,,
【#武汉康复者血浆捐献点迎首位献血者#】据报道，日前#治疗性新冠特免血浆制品已投入临床#。武汉金银潭医院院长张定宇也恳请康复患者捐献血浆。2月14日，公开招募献血者首日，武汉新冠肺炎康复者血浆捐献点迎首位献血者，一名青年男子独自前来，一言不发走进献血屋。工作人员提醒有意向献血的市民，前往献血点时，请做好防护工作。封面新闻视频的秒拍视频,2020/2/14 12:21,"评论
1502",正能量,建议给捐献血浆的同胞发个证书 像献血证那样的,谢谢你 愿你身体健康,感谢这么好心的人,需要很大的勇气，毕竟刚刚出院身体还很虚弱，谢谢勇敢的人,只要你身体受得住，就捐吧，早日攻克病魔，医务人员才能休息。有些人不捐，只是被一些愚昧的言论吓到了,患者康复后体内的大量综合抗体，能够对抗病毒，愿宝贵的血浆数据，共同救治病人。,新冠病毒感染后，人的免疫系统会产生抗体，并存在血液中，通过与病毒的某些蛋白结合，并与免疫系统的其它功能配合，可以使病毒无法再感染人体的正常细胞，共同完成对病毒的清理。把痊愈病人的血液抽出来，经抗凝、离心后拿掉血细胞，剩下的液体就是血浆，血浆中含有抗体，可以用来对其他病人进行治疗。,"国家免费收治新冠状肺炎患者，患者出院后自愿献血救助其他感染者。突然想起来一句话:投我以桃李,报之以琼浆。不过没献血的也没必要道德绑架 可能有的是年纪大可，有的身体不太好什么的 评论配图",谢谢您,,大哥真棒,谢谢！好人一生平安,好样的！,谢谢您，好正能量啊,前往注意安全~不要道德绑架,知恩图报的中国人,国家无偿救助患者，痊愈者义务捐血回馈社会，知恩图报，良性循环，感恩感谢～～～,回馈社会,湖北人太自私了。昨天这个新闻出来的时候，一群湖北人说什么不要道德绑架，国家免费治疗是应该的，因为他们是纳税人。
,,,,,,,,,,,,,,,,,,,,,,
【转发提醒！#这些考试受疫情影响推迟或取消#】日前，教育部、人社部、国家公务员局等相继发布通知，调整部分考试时间、报名等安排。一份#受疫情影响考试名单#↓↓转给需要的小伙伴！,2020/2/14 12:11,"评论
6677",计算机考试呢？？,专升本怎么办啊,初会考试？,计算机二级呢,高考呢？,三月份的计算机二级求求也延迟吧,省考求求了,计算机二级考试呢？,计算机二级考试呢！！！,计算机二级？？？！,计算机二级呢呢。,刚打开的书又关了起来,艺考呢？？？？我们艺考生呢？？？,上半年省考推迟吗,全国大学生英语竞赛呢,计算机考试呢？对了，想问一下，看见很多小伙伴说计算机二级考了没啥用？,高考呢？？？？,topik呢？!!,艺术校考推到啥时候啊 也没个盼头[暈],雅思3月考试呢
,,,,,,,,,,,,,,,,,,,,,,
"【#西藏连续15天无新增病例#】西藏自治区卫健委2月14日上午发布新型冠状病毒感染的肺炎疫情情况：截至2月13日24时，西藏自治区现有确诊病例0例，重症病例0例，死亡病例0例，疑似病例0例，治愈出院病例1例。累计确诊新型冠状病毒感染的肺炎病例1例。
因此，西藏自治区已经连续15天没有新增确诊病例或疑似病例报告。1月29日西藏自治区确诊的唯一新冠肺炎病例，已于2月12日下午治愈出院。",2020/2/14 11:29,"评论
1813",西藏稳住，继续保持0,西藏那么神圣美好的地方，没有最好了,西藏，青海，海南，，，，，其他省跟上,西藏：你们加油，我先拜拜了！ …… 西藏退出群聊,俺们山东郡的北边有一个小东营国，也是没有一个病例,潜伏期过了，那说明就没有了吧……,疫情期间别跑西藏，保护西藏,好消息！,大西藏，你最帅,唯一净土,继续保持加油。,净土不愧净土！,我西藏继续加油武汉我的国也要加油鸭,感冒发烧都可能嗝屁的地方得了肺炎更没救,希望听到越来越多的好消息！,加油，西藏，坚持住！[加油][加油][加油],希望一直无新增，西藏加油,净土稳住！！！！！！,西藏稳住，中国加油,我向往的地方啊
,,,,,,,,,,,,,,,,,,,,,,
"【#西藏连续15天无新增病例#】西藏自治区卫健委2月14日上午发布新型冠状病毒感染的肺炎疫情情况：截至2月13日24时，西藏自治区现有确诊病例0例，重症病例0例，死亡病例0例，疑似病例0例，治愈出院病例1例。累计确诊新型冠状病毒感染的肺炎病例1例。
因此，西藏自治区已经连续15天没有新增确诊病例或疑似病例报告。1月29日西藏自治区确诊的唯一新冠肺炎病例，已于2月12日下午治愈出院。",2020/2/14 11:29,"评论
1813",西藏稳住，继续保持0,西藏那么神圣美好的地方，没有最好了,西藏，青海，海南，，，，，其他省跟上,西藏：你们加油，我先拜拜了！ …… 西藏退出群聊,俺们山东郡的北边有一个小东营国，也是没有一个病例,潜伏期过了，那说明就没有了吧……,疫情期间别跑西藏，保护西藏,好消息！,大西藏，你最帅,唯一净土,继续保持加油。,净土不愧净土！,我西藏继续加油武汉我的国也要加油鸭,感冒发烧都可能嗝屁的地方得了肺炎更没救,希望听到越来越多的好消息！,加油，西藏，坚持住！[加油][加油][加油],希望一直无新增，西藏加油,净土稳住！！！！！！,西藏稳住，中国加油,我向往的地方啊
,,,,,,,,,,,,,,,,,,,,,,
【#河北省原副省长李谦被决定逮捕#】河北省人民政府原党组成员、副省长李谦涉嫌受贿一案，由国家监察委员会调查终结，移送检察机关审查起诉。日前，最高人民检察院依法以涉嫌受贿罪对李谦作出逮捕决定。该案正在进一步办理中。（彭波）,2020/2/14 11:04,"评论
16748",河北的就应该好好查一查,湖北的呢,我一个河北人我都不知道省长是谁,河北官场给人感觉是层层贪污,官员受贿率有没有95%？,真的寒心。这位以前是我们保定市市长，说来讽刺，首都南大门时至今日穷成这样，一直没有发展。河北省的官员没有替百姓考虑的，河北就一直是环京津贫困圈，求求中央关注一下我们河北省的发展吧真的太落后了！,支持，身为河北人的我，觉得河北真应该好好管管，贪官太多，不务实的官太多，这么多年，没有一点进步，看看别的省市，都在发展，尤其是县，乡，贪官太多了,挨着京津 河北却发展的我看不到一点点进步的样子,河北的发展真的太让人失望了，家在保定，几乎看不到什么实质性的发展，最多建几个大楼盖两个商场，人们只看到什么世界第一座转体大桥，不知道那桥修了多少年。看不到希望就没有人才回归，身边出去上学的，没有一个想回保定工作的。京津冀协同发展，不能京津发展河北协同，河北这么些年受的委屈太多了,湖北的怎么处理？？？,最早第一批赴武汉调查的8名专家呢？不追究么？把论文看得比人命重要,其实，贪不贪的真不关心，你倒是干事啊，只要生活水平整体提高了，贪了普通群众也开心啊。,请调查一下石家庄市赞皇县南邢郭乡陈村的村长常年贪污腐败 村里的路烂的不能走了不说修修，现在哪还有这样的路@石家庄市司法局,活该！,河北贪官太多，大到省长下到村长，开着奔驰住着别墅一个人当管把兄弟几个全带起来了,支持查办河北官员，有些县乡太贫苦了，都不知道上面给村里的钱哪儿去了,河北的贪污的太严重了，哪个不贪，连我们村的村长都贪的厉害,全国都知道河北贪污大省吧,,
,,,,,,,,,,,,,,,,,,,,,,
【#天津通过禁食野生动物决定#：食用者处二倍以上十倍以下罚款】具体内容包括：①在本市行政区域内，禁止食用下列野生动物及其制品；②任何单位和个人不得生产、经营利用禁止食用的野生动物及其制品制作的食品；③违反本决定第一条规定，食用野生动物及其制品的，由规划和自然资源、农业农村、市场监管、林业部门按照职责分工责令停止违法行为，没收野生动物及其制品，并处野生动物及其制品价值二倍以上十倍以下的罚款。具体内容见→网页链接,2020/2/14 10:56,"评论
7270",请重罚！！！,#温州永嘉打狗# 浙江省温州市永嘉县金溪镇黄山村在未证实动物可以传染的情况下2月12号全村打狗， 全部都是活活打死的 ！该村的狗都是有主人的，不是流浪狗！#善待动物#,天津好样的！其他地方也要跟上,坚决禁止,建议全国推广,应该入刑不然总有些憨批爱挑战道德底线,坚决打击吃野味的！,麻烦看看温州永嘉打狗事件吧！！！！！！看着毛孩子这样真的揪心死了！！n,^_^光罚款有什么用 吃的起的差这点罚款？,支持支持支持 您好可以关注一下温州永嘉打狗吗 手段太残忍了 疫情期间打狗 猫猫狗狗不会传染病毒的,二倍以上十倍以下有点轻，能吃得起的不差钱，建议罚款五十倍以上一百倍以下罚款，另外纳入征信系统,#温州永嘉打狗# 浙江省温州市永嘉县金溪镇黄山村在未证实动物可以传染的情况下2月12号全村打狗， 全部都是活活打死的 ！该村的狗都是有主人的，不是流浪狗！#善待动物#,天津棒棒的！！！,罚款有啥用？直接关他一两年不好吗？,我现在觉得用新加坡的鞭刑不失为一个好主意,罚款太轻了，支持食用者判刑！,难道不应该和贩毒吸毒同罪吗？？？,使劲罚！！！！！支持,,
,,,,,,,,,,,,,,,,,,,,,,
【湖北#黄冈每天向市场供应7.19万只口罩#：每人限购5只 售价0.65~0.80元】2月9日黄冈市市场监管局宣布，每天向黄冈10个县供应一次性医用口罩7.19万只，市民每人每天限购5只。据悉，每只口罩零售价0.65至0.80元。市场监管部门将安排专人值守巡查，防止抢购和人群聚集。@湖北日报,2020/2/14 10:27,"评论
2127",我买到了，0.65一个。,河南买不到口罩了 一个也没有 我已经半个月没出过门了 门口都没去过,那个卖一块钱的怎么被罚了？,还是没买到的点个赞…,黄冈真的,我一个口罩都买不到,我已经买了4块钱一个的口罩了,怪羡慕的……但我还是买不到,为黄冈点个赞,坐标黄冈，以上说的是事实，凭身份证购买，我这边好像是七毛钱一个，每个人最多五个。但我觉得普通人呆在家就好了，没必要浪费口罩，也不用去囤积，把口罩留给需要的人。,还好这次价格在15%浮动范围内，要不然,买不到口罩了 一个也没有 我已经半个月没出过门了 门口都没去过,看看河南 各大医院物资紧缺,青岛预约系统永远买不到，约上了也是来短信说没货了，玩弄我们真有一套！,5只……聊胜于无,就想问黄冈这些口罩哪里买？地标黄冈浠水，已实行战时管制，请问怎么买呢？,好消息,我们不是都不能出门吗，怎么买口罩,门都出不了，去哪里买口罩？,
,,,,,,,,,,,,,,,,,,,,,,
"【13日0时-24时，#海南无新增新冠肺炎确诊病例#】2020年2月13日0时-24时，海南省报告新型冠状病毒肺炎新增确诊病例0例，新增重症病例2例，新增死亡病例0例，新增出院病例3例；新增重症病例中，三亚市2例；新增出院病例中，三亚市3例。
截至2月13日24时，海南省累计报告新型冠状病毒肺炎确诊病例157例，重症病例13例，死亡病例4例，出院病例30例。确诊病例中，海口市29例、三亚市54例、儋州市15例、文昌市3例、琼海市6例、东方市3例、万宁市13例、澄迈县8例、临高县6例、昌江县7例、陵水县4例、定安县3例、保亭县3例、乐东县2例、琼中县1例。
截至2月13日24时，追踪到密切接触者4559人，已解除医学观察3342人，尚有1217人正在接受集中医学观察。",2020/2/14 9:37,"评论
816",海南 请和西藏一起保持！！！,山西有伴了,无新增就是好消息,好 加油挺住,海南挺住，愿这样的好消息越来越多[加油][加油],我大海南冲啊等解除了我一定要出门吃清补凉炸炸炒粉意bua海南粉伊面汤喝椰子水,希望每个省都跟上 不要掉队[加油],#温州永嘉打狗#请大家关注温州永嘉打狗事件！！！在没有明确证据表明宠物会传染新冠病毒的情况下，假借国策之名，行罪恶之事，有组织地将家养的宠物狗活活打死！！动物跟我们一样，是平等的生命。人类的错误，不应该让动物替我们买单！！请以“国策之名”虐杀宠物的相关机构及时纠偏！,希望能够一直保持，加油！,大海南，你好帅,好挺住,不是有一例吗？海南都公布了呀！目前158,希望有更多的地方零增加！,海南，西藏，宁夏，都给我挺住！保持住！其他的省份给我跟上！,海南加油，稳住[加油],海南好样的,可见海南的疫情防控工作做得不错！,重症跟死亡的占比太高了吧，果然是医疗落后的地方。,好消息越来越多了，加油！,疫情过后最火爆的十大行业，网页链接
,,,,,,,,,,,,,,,,,,,,,,
"【#河北新增18例确诊病例#】2020年2月13日0—24时，河北省报告新型冠状病毒肺炎新增确诊病例18例，其中，唐山市8例、张家口市6例、沧州市3例、邢台市1例。新增治愈出院病例15例，其中，廊坊市4例、邢台市3例、衡水市2例、邯郸市2例、石家庄市1例、张家口市1例、秦皇岛市1例、唐山市1例。新增疑似病例12例，其中，石家庄市4例、沧州市3例、秦皇岛市2例、邯郸市2例、唐山市1例。
截至2月13日24时，河北省累计报告确诊病例283例，其中死亡3例，现有重症病例19例，累计治愈出院69例。确诊病例中，沧州市45例、唐山市43例、张家口市31例、保定市31例、邯郸市31例、廊坊市29例、石家庄市27例、邢台市22例、秦皇岛市9例、衡水市8例、承德市7例；死亡病例中，沧州市2例、邢台市1例；重症病例中，张家口市3例、唐山市3例、沧州市3例、秦皇岛市2例、邯郸市2例、石家庄市1例、承德市1例、廊坊市1例、保定市1例、衡水市1例、邢台市1例；出院病例中，廊坊市12例、沧州市12例、保定市11例、邢台市8例、邯郸市7例、石家庄市4例、张家口市4例、唐山市4例、衡水市4例、秦皇岛市2例、承德市1例。现有疑似病例39例。
目前累计追踪到密切接触者9989人，当日解除隔离医学观察547人，现有4078人正在接受隔离医学观察。（人民日报记者史自强）",2020/2/14 7:59,"评论
3705",河北一定要挺住，河北人顶起来,石家庄一定要挺住，管理有效果,唐山43了？卧槽,河北确诊昨天12，今天18，这几天一直高位，没有下降的趋势。,保定加油哇，已经连续两天没有新增和疑似了,只要我不统计，就没人得病；只要我不收，你就不是新冠肺炎。现在。。。你们信了吗,河北加油，一定会越来越好。,张家口这是怎么了 怎么新增的一天比一天多啊,沧州这个时候不要每天都做第一,我大河北一定要加油 会越来越好的,衡水已经连续几天没有新增了。衡水加油！大河北加油[加油],河北的你保护好自己,唐山不要再增加啦,石家庄3天没有新增了！加油,关注一下沧州吧！沧州的人数现在是河北省最多的 现在在农村 口罩根本买不着 沧州顶住啊！,活在这个世上， 除了生死，其他的都是小事。,唐山为什么涨这么快,秦皇岛加油，争取不再有新的确诊[加油],唐山什么情况,保定加油 啊 两天没有增长了
